Continent;Country (en);City (en);Latitude;Longitude
Africa;Libya;Tripoli;3.287.519;1.318.746
Europe;Liechtenstein;Vaduz;4.714.151;952.154
Europe;Lithuania;Vilnius;5.468.916;252.798
Europe;Luxembourg;Luxembourg;4.961.167;6.13
Asia;Macau;Concelho de Macau;2.220.056;11.354.611
Europe;Macedonia;Skopje;4.199.646;2.143.141
Africa;Madagascar;Antananarivo;-1.891.368;4.753.613
Africa;Malawi;Lilongwe;-1.396.692;3.378.725
Asia;Malaysia;Kuala Lumpur;31.412;10.168.653
Asia;Maldives;Male;41.748;7.350.888
Africa;Mali;Bamako;12.65;-8
Europe;Malta;Valletta;3.589.972;1.451.472
Oceania;Marshall Islands;Majuro;708.971;17.138.027
North America;Martinique;Fort-de-France;1.460.892;-6.107.334
Africa;Mauritania;Nouakchott;1.808.581;-159.785
Africa;Mauritius;Port Louis;-2.016.194;5.749.889
Africa;Mayotte;Mamoudzou;-1.278.234;4.522.878
North America;Mexico;Mexico City;1.942.847;-9.912.766
Europe;Moldova;Chisinau;4.700.556;288.575
Europe;Monaco;Monaco;4.373.333;741.667
Asia;Mongolia;Ulaanbaatar;4.790.771;10.688.324
Europe;Montenegro;Podgorica;4.244.111;1.926.361
North America;Montserrat;Brades;1.679.183;-6.221.058
Africa;Morocco;Rabat;3.401.325;-683.255
Africa;Mozambique;Maputo;-2.596.553;3.258.322
Africa;Namibia;Windhoek;-2.255.941;1.708.323
Oceania;Nauru;Yaren;-0.55085;1.669.252
Asia;Nepal;Kathmandu;2.770.169;853.206
Europe;Netherlands;Amsterdam;5.237.403;488.969
North America;Netherlands Antilles;Willemstad;12.133.649;-68.930.873
Oceania;New Caledonia;Nouméa;-2.227.631;1.664.572
Oceania;New Zealand;Wellington;-4.128.664;17.477.557
Central America;Nicaragua;Managua;1.213.282;-862.504
Africa;Niger;Niamey;1.351.366;21.098
Africa;Nigeria;Abuja;905.785;749.508
Oceania;Niue;Alofi;-1.905.952;-16.991.867
Oceania;Norfolk Island;Kingston;-2.905.459;16.796.628
Asia;North Korea;Pyongyang;3.903.385;12.575.432
Oceania;Northern Mariana Islands;Saipan;1.521.233;1.457.545
Europe;Norway;Oslo;5.991.273;1.074.609
Asia;Oman;Muscat;2.361.387;585.922
Asia;Pakistan;Islamabad;3.372.148;7.304.329
Asia;Palestine;Ramallah;3.189.964;3.520.422
Central America;Panama;Panamá;89.936;-7.951.973
Oceania;Papua New Guinea;Port Moresby;-944.314;14.717.972
South America;Paraguay;Asunción;-2.530.066;-5.763.591
South America;Peru;Lima;-1.204.318;-7.702.824
Asia;Philippines;Manila;146.042;1.209.822
Oceania;Pitcairn Islands;Adamstown;-25.066.397;-130.100.197
Europe;Poland;Warsaw;5.222.977;2.101.178
Europe;Portugal;Lisbon;3.871.667;-913.333
North America;Puerto Rico;San Juan;1.846.633;-6.610.572
Asia;Qatar;Doha;2.527.932;5.152.245
Africa;Republic of the Congo;Brazzaville;-426.613;1.528.318
Africa;Reunion;Saint-Denis;-2.088.231;554.504
Europe;Romania;Bucharest;4.443.225;2.610.626
Europe;Russia;Moscow;5.575.222;3.761.556
Africa;Rwanda;Kigali;-194.995;3.005.885
Africa;Saint Helena, Ascension and Tristan da Cunha;Jamestown;-1.593.872;-571.675
North America;Saint Kitts and Nevis;Basseterre;1.729.484;-627.261
North America;Saint Lucia;Castries;139.957;-6.100.614
North America;Saint Pierre and Miquelon;Saint-Pierre;4.677.914;-561.773
North America;Saint Vincent and the Grenadines;Kingstown;1.315.872;-6.122.475
Oceania;Samoa;Apia;-1.383.333;-17.176.666
Europe;San Marino;San Marino;4.393.667;1.244.639
Africa;Sao Tome and Principe;São Tomé;0.33654;672.732
Asia;Saudi Arabia;Riyadh;2.468.773;4.672.185
Africa;Senegal;Dakar;146.937;-1.744.406
Europe;Serbia;Belgrade;4.480.401;2.046.513
Africa;Seychelles;Victoria;-461.667;55.45
Africa;Sierra Leone;Freetown;8.484;-1.322.994
Asia;Singapore;Singapore;128.967;10.385.007
Europe;Slovakia;Bratislava;4.814.816;1.710.674
Europe;Slovenia;Ljubljana;4.605.108;1.450.513
Oceania;Solomon Islands;Honiara;-943.333;159.95
Africa;Somalia;Mogadishu;203.711;4.534.375
Africa;South Africa;Pretoria;-2.574.486;2.818.783
Asia;South Korea;Seoul;37.566;1.269.784
Africa;South Sudan;Juba;485.165;3.158.247
Europe;Spain;Madrid;404.165;-370.256
Asia;Sri Lanka;Colombo;693.194;7.984.778
Africa;Sudan;Khartoum;1.555.177;3.253.241
South America;Suriname;Paramaribo;586.638;-5.516.682
Europe;Svalbard;Longyearbyen;7.822.334;1.564.689
Africa;Swaziland;Mbabane;-2.631.667;3.113.333
Europe;Sweden;Stockholm;5.933.258;180.649
Europe;Switzerland;Bern;4.694.809;744.744
Asia;Syria;Damascus;335.102;3.629.128
Asia;Taiwan;Taipei;2.504.776;12.153.185
Asia;Tajikistan;Dushanbe;3.853.575;6.877.905
Africa;Tanzania;Dodoma;-617.221;3.573.947
Asia;Thailand;Bangkok;1.375.398;10.050.144
Asia;Timor-Leste;Dili;-855.861;12.557.361
Africa;Togo;Lomé;613.748;121.227
Oceania;Tokelau;Nukunonu;-920.045;-17.184.804
Oceania;Tonga;Nuku‘alofa;-2.113.938;-1.752.018
North America;Trinidad and Tobago;Port-of-Spain;1.066.668;-6.151.889
Africa;Tunisia;Tunis;3.681.897;1.016.579
Asia;Turkey;Ankara;3.991.987;3.285.427
Asia;Turkmenistan;Ashgabat;37.95;5.838.333
North America;Turks and Caicos Islands;Cockburn Town;2.146.122;-7.114.188
Oceania;Tuvalu;Funafuti;-852.425;17.919.417
Africa;Uganda;Kampala;0.31628;3.258.219
Europe;Ukraine;Kiev;5.045.466;305.238
Asia;United Arab Emirates;Abu Dhabi;2.446.667;5.436.667
Europe;United Kingdom;London;5.150.853;-0.12574
North America;United States;Washington, D.C.;3.889.511;-7.703.637
South America;Uruguay;Montevideo;-3.490.328;-5.618.816
Asia;Uzbekistan;Tashkent;4.126.465;6.921.627
Oceania;Vanuatu;Port-Vila;-1.773.381;16.832.188
South America;Venezuela;Caracas;1.048.801;-6.687.919
Asia;Vietnam;Hanoi;210.245;10.584.117
North America;Virgin Islands;Charlotte Amalie;183.419;-649.307
Oceania;Wallis and Futuna;Mata-Utu;-1.328.163;-17.617.453
Africa;Western Sahara;El Aaiún;271.418;-1.318.797
Asia;Yemen;Sanaa;1.535.472;4.420.667
Africa;Zambia;Lusaka;-1.540.669;2.828.713
Africa;Zimbabwe;Harare;-1.782.772;3.105.337
